Fecha       Licencia    Placa          Infraccion      Monto     Descuento  Puntos    Meses Susp
--------------------------------------------------------------------------------------------------------------
2019/01/02  15559308    X6O-905        MUY GRAVE       474.00      0.00       500         0
2019/01/02  16477908    W7C-957        GRAVE           316.00      0.25       200         0
2019/01/02  47844324    X7J-719        MUY GRAVE       474.00      0.00       500         0
2019/01/03  15115705    N9Q-814        GRAVE           316.00      0.25       100         0
2019/01/04  90467829    H1R-953        GRAVE           316.00      0.25       100         0
2019/01/04  70414420    V9J-051        MUY GRAVE         0.00      0.00      2000        12
2019/01/05  68310808    K2N-341        MUY GRAVE       948.00      0.00       600         1
2019/01/05  81485316    F1O-596        MUY GRAVE      1975.00      0.00       600         1
2019/01/06  31107104    E0I-722        GRAVE           316.00      0.25       100         0
2019/01/06  60335381    E6T-667        MUY GRAVE         0.00      0.00      2000        12
2019/01/07  79766395    T3R-184        MUY GRAVE      1975.00      0.00       800         3
2019/01/08  77763722    D1M-667        GRAVE           316.00      0.25       200         0
2019/01/09  79672079    O3H-954        MUY GRAVE      1975.00      0.00       800         3
2019/01/09  15029228    J0Q-121        MUY GRAVE      3950.00      0.00       100         6
2019/01/09  35671623    K0T-350        GRAVE           316.00      0.25       100         0
2019/01/10  26522329    W7R-114        MUY GRAVE       474.00      0.00       500         0
2019/01/10  88167677    B4C-100        GRAVE           316.00      0.25       100         0
2019/01/12  19963454    H8A-390        GRAVE           316.00      0.25       100         0
2019/01/12  81485316    J5T-691        MUY GRAVE       711.00      0.00       600         1
2019/01/12  45043076    I1D-713        MUY GRAVE       474.00      0.00       500         0
2019/01/14  77367073    W4W-684        MUY GRAVE       474.00      0.00       500         0
2019/01/16  34976629    J8B-303        MUY GRAVE       474.00      0.00       500         0
2019/01/16  47528229    T8Y-354        GRAVE           316.00      0.25       100         0
2019/01/16  35683701    D5W-953        MUY GRAVE       474.00      0.00       500         0
2019/01/16  27864822    T9U-338        MUY GRAVE       474.00      0.00       500         0
2019/01/17  77367073    N7K-403        GRAVE           316.00      0.25       100         0
2019/01/18  84186239    W9Y-717        MUY GRAVE       474.00      0.00       500         0
2019/01/18  48878256    F2F-895        MUY GRAVE       474.00      0.00       500         0
2019/01/19  30046639    P6I-223        GRAVE           316.00      0.25       100         0
2019/01/20  25518120    U1X-768        GRAVE           316.00      0.25       200         0
2019/01/20  73567806    A7Y-833        MUY GRAVE       948.00      0.00       600         1
2019/01/21  85501710    N2C-590        LEVE            158.00      0.50         0         0
2019/01/21  53853385    O4X-603        MUY GRAVE       474.00      0.00       500         0
2019/01/22  52002275    C0S-417        GRAVE           316.00      0.25       100         0
2019/01/22  81799482    V7P-711        MUY GRAVE       948.00      0.00       600         1
2019/01/23  64532449    X3Z-285        GRAVE           316.00      0.25       100         0
2019/01/25  64532449    X3Z-285        GRAVE           316.00      0.25       100         0
2019/01/25  36079131    I0W-872        MUY GRAVE       948.00      0.00       600         1
2019/01/25  27185429    U3F-754        MUY GRAVE      1975.00      0.00       600         1
2019/01/26  70414420    V9J-051        MUY GRAVE       474.00      0.00       500         0
2019/01/29  32244565    K4F-319        GRAVE           316.00      0.25       100         0
2019/01/29  29989682    W3T-571        MUY GRAVE       474.00      0.00       500         0
2019/01/29  47844324    F1H-328        MUY GRAVE       474.00      0.00       500         0
2019/01/30  21621497    W5W-525        MUY GRAVE       474.00      0.00       500         0
2019/01/30  54447051    G3Y-654        MUY GRAVE      3950.00      0.00       100         6
2019/01/30  35683701    D5W-953        GRAVE           316.00      0.25       100         0
2019/01/31  21621497    Z7C-785        GRAVE           316.00      0.25       100         0
2019/02/02  51929951    O8J-848        MUY GRAVE       474.00      0.00       500         0
2019/02/03  27864822    S3D-133        GRAVE           316.00      0.25       100         0
2019/02/04  71578206    L4H-670        GRAVE           316.00      0.25       100         0
2019/02/06  34248357    H4R-733        MUY GRAVE       948.00      0.00       600         1
2019/02/06  49428502    C0A-114        GRAVE           316.00      0.25       100         0
2019/02/06  90467829    K4H-445        GRAVE           316.00      0.25       100         0
2019/02/07  34248357    U0T-459        GRAVE           316.00      0.25       100         0
2019/02/08  15559308    X6O-905        GRAVE           316.00      0.25       100         0
2019/02/08  82031355    H6X-124        GRAVE           316.00      0.25       100         0
2019/02/08  69494747    J8D-125        GRAVE           316.00      0.25       100         0
2019/02/10  97849227    I0K-077        GRAVE           316.00      0.25       200         0
2019/02/11  19963454    D9A-711        GRAVE           316.00      0.25       100         0
2019/02/11  34248357    U0T-459        GRAVE           316.00      0.25       200         0
2019/02/12  96693273    C0G-556        GRAVE           316.00      0.25       200         0
2019/02/14  47528229    T8Y-354        MUY GRAVE       474.00      0.00       500         0
2019/02/14  73567806    A7Y-833        GRAVE           316.00      0.25       100         0
2019/02/15  50200823    Q6C-943        GRAVE           316.00      0.25       100         0
2019/02/15  87495937    M5G-669        MUY GRAVE      3950.00      0.00       100         6
2019/02/16  35912665    D7L-648        GRAVE           316.00      0.25       100         0
2019/02/17  29833157    I9F-484        LEVE            158.00      0.50         0         0
2019/02/18  49927087    M8Q-758        MUY GRAVE       474.00      0.00       500         0
2019/02/18  80457845    Z5G-762        LEVE            158.00      0.50         0         0
2019/02/20  21621497    Z7C-785        MUY GRAVE       474.00      0.00       500         0
2019/02/20  66849703    J2F-853        MUY GRAVE       948.00      0.00       600         1
2019/02/21  88854166    H3E-885        MUY GRAVE       474.00      0.00       500         0
2019/02/21  73357516    E6R-293        GRAVE           316.00      0.25       100         0
2019/02/23  58992942    Q6B-243        GRAVE           316.00      0.25       100         0
2019/02/23  15559308    T8F-368        GRAVE           316.00      0.25       200         0
2019/02/24  54447051    G3Y-654        MUY GRAVE       474.00      0.00       500         0
2019/02/25  87282766    S1D-093        GRAVE           316.00      0.25       100         0
2019/02/25  43454884    G0F-080        LEVE            158.00      0.50         0         0
2019/02/26  21621497    Z7C-785        LEVE            158.00      0.50         0         0
2019/02/26  34248357    U0T-459        GRAVE           316.00      0.25       100         0
2019/02/28  54447051    D5W-773        MUY GRAVE       474.00      0.00       500         0
2019/02/28  29989682    B1J-773        GRAVE           316.00      0.25       200         0
2019/03/01  79766395    N6D-256        MUY GRAVE       474.00      0.00       500         0
2019/03/02  82031355    Z5D-724        GRAVE           316.00      0.25       100         0
2019/03/04  30441350    X0F-315        MUY GRAVE       474.00      0.00       500         0
2019/03/06  26522329    W7R-114        LEVE            158.00      0.50         0         0
2019/03/06  87495937    C5G-743        GRAVE           316.00      0.25       100         0
2019/03/06  88167677    V7U-622        MUY GRAVE       474.00      0.00       500         0
2019/03/07  88167677    Y4Y-028        GRAVE           316.00      0.25       100         0
2019/03/07  68310808    X6M-077        GRAVE           316.00      0.25       100         0
2019/03/08  31107104    E0I-722        GRAVE           316.00      0.25       100         0
